frame,total_persons,safe,violations
0,14,7,7
1,15,9,6
2,12,7,5
3,12,8,4
4,15,10,5
5,15,9,6
6,15,11,4
7,14,10,4
8,14,10,4
9,13,11,2
10,15,13,2
11,16,14,2
12,17,13,4
13,14,14,0
14,15,11,4
15,15,11,4
16,14,10,4
17,15,13,2
18,16,14,2
19,16,16,0
20,16,16,0
21,17,15,2
22,16,14,2
23,14,12,2
24,15,13,2
25,15,13,2
26,17,15,2
27,17,13,4
28,16,13,3
29,14,14,0
30,15,11,4
31,16,11,5
32,16,9,7
33,15,7,8
34,14,12,2
35,14,10,4
36,15,9,6
37,15,9,6
38,15,5,10
39,14,7,7
40,14,8,6
41,15,7,8
42,13,9,4
43,12,10,2
44,12,10,2
45,12,8,4
46,12,10,2
47,12,10,2
48,13,9,4
49,13,9,4
50,12,7,5
51,14,7,7
52,13,8,5
53,14,7,7
54,11,7,4
55,13,8,5
56,11,9,2
57,13,6,7
58,15,10,5
59,15,7,8
60,16,5,11
61,16,5,11
62,15,6,9
63,14,6,8
64,15,7,8
65,14,8,6
66,13,8,5
67,13,6,7
68,13,6,7
69,13,5,8
70,14,4,10
71,13,6,7
72,14,4,10
73,13,5,8
74,14,5,9
75,14,6,8
76,13,4,9
77,12,6,6
78,13,5,8
79,13,7,6
80,12,6,6
81,11,5,6
82,11,6,5
83,9,7,2
84,10,8,2
85,11,7,4
86,10,7,3
87,9,9,0
88,10,7,3
89,10,8,2
90,12,8,4
91,11,7,4
92,11,7,4
93,11,7,4
94,11,7,4
95,11,7,4
96,12,6,6
97,12,6,6
98,13,7,6
99,13,7,6
100,13,8,5
101,13,9,4
102,16,10,6
103,17,9,8
104,15,6,9
105,13,7,6
106,11,9,2
107,11,11,0
108,10,10,0
109,10,10,0
110,11,11,0
111,13,7,6
112,11,6,5
113,12,6,6
114,12,5,7
115,12,7,5
116,13,7,6
117,11,7,4
118,11,9,2
119,10,8,2
120,11,9,2
121,9,7,2
122,10,6,4
123,10,8,2
124,11,9,2
125,13,7,6
126,12,8,4
127,13,9,4
128,15,9,6
129,15,9,6
130,15,8,7
131,14,7,7
132,14,10,4
133,14,10,4
134,12,6,6
135,12,10,2
136,12,8,4
137,12,10,2
138,13,9,4
139,13,9,4
140,13,9,4
141,13,9,4
142,12,10,2
143,13,9,4
144,13,7,6
145,13,7,6
146,13,9,4
147,13,9,4
148,12,8,4
149,12,10,2
150,11,8,3
151,13,9,4
152,12,8,4
153,13,8,5
154,12,7,5
155,13,6,7
156,15,6,9
157,15,7,8
158,14,8,6
159,13,8,5
160,13,8,5
161,12,6,6
162,12,6,6
163,12,8,4
164,12,8,4
165,12,8,4
166,11,8,3
167,13,5,8
168,13,6,7
169,13,7,6
170,13,7,6
171,12,7,5
172,11,8,3
173,10,7,3
174,12,5,7
175,14,7,7
176,14,7,7
177,13,6,7
178,12,5,7
179,14,7,7
180,14,7,7
181,14,7,7
182,14,7,7
183,14,7,7
184,15,7,8
185,14,6,8
186,13,6,7
187,13,5,8
188,13,5,8
189,12,5,7
