frame,total_persons,safe,violations
0,10,5,5
1,10,5,5
2,12,3,9
3,13,4,9
4,13,3,10
5,12,4,8
6,13,2,11
7,13,4,9
8,12,4,8
9,12,7,5
10,11,7,4
11,10,8,2
12,10,8,2
13,10,6,4
14,10,6,4
15,14,5,9
16,13,5,8
17,13,5,8
18,13,5,8
19,13,5,8
20,14,3,11
21,12,5,7
22,12,5,7
23,12,5,7
24,9,7,2
25,11,6,5
26,11,6,5
27,12,6,6
28,13,4,9
29,12,5,7
30,12,4,8
31,11,4,7
32,10,5,5
33,10,5,5
34,10,4,6
35,11,2,9
36,12,2,10
37,10,3,7
38,11,2,9
39,11,3,8
40,11,2,9
41,11,3,8
42,11,3,8
43,11,3,8
44,10,4,6
45,9,4,5
46,9,4,5
47,11,3,8
48,11,3,8
49,10,3,7
50,9,3,6
51,11,4,7
52,11,4,7
53,11,4,7
54,14,3,11
55,13,4,9
56,14,4,10
57,14,3,11
58,13,4,9
59,14,6,8
60,13,5,8
61,11,4,7
62,12,3,9
63,12,5,7
64,12,3,9
65,13,4,9
66,11,3,8
67,13,3,10
68,14,3,11
69,15,3,12
70,14,3,11
71,14,3,11
72,15,3,12
73,17,2,15
74,16,3,13
75,15,3,12
76,13,3,10
77,12,3,9
78,13,3,10
79,12,3,9
80,12,3,9
81,10,3,7
82,10,3,7
83,11,2,9
84,14,3,11
85,14,2,12
86,13,2,11
87,13,2,11
88,14,3,11
89,14,3,11
90,16,2,14
91,13,2,11
92,15,3,12
93,14,2,12
94,16,2,14
95,13,2,11
96,12,2,10
97,12,2,10
98,10,3,7
99,11,3,8
100,11,3,8
101,11,3,8
102,11,3,8
103,10,2,8
104,10,2,8
105,9,2,7
106,9,2,7
107,9,2,7
108,9,3,6
109,10,2,8
110,11,3,8
111,10,3,7
112,10,3,7
113,13,2,11
114,13,2,11
115,14,2,12
116,14,2,12
117,12,2,10
118,12,3,9
119,11,3,8
120,11,3,8
121,13,2,11
122,12,2,10
123,12,4,8
124,13,2,11
125,13,4,9
126,13,4,9
127,13,4,9
128,16,4,12
129,15,4,11
130,15,4,11
131,14,4,10
132,13,4,9
133,13,4,9
134,13,4,9
135,15,4,11
136,13,4,9
137,14,5,9
138,14,5,9
139,14,4,10
140,13,3,10
141,12,3,9
142,13,3,10
143,13,3,10
144,13,3,10
145,13,3,10
146,13,3,10
147,13,3,10
148,12,3,9
149,12,3,9
150,11,4,7
151,13,4,9
152,12,4,8
153,11,4,7
154,13,3,10
155,14,3,11
156,14,3,11
157,14,3,11
158,14,3,11
159,13,3,10
160,13,4,9
161,14,3,11
162,13,3,10
163,13,2,11
164,11,5,6
165,13,2,11
166,13,2,11
167,14,1,13
168,13,2,11
169,14,1,13
170,14,2,12
171,15,0,15
172,14,2,12
173,14,2,12
174,16,0,16
175,15,0,15
176,16,0,16
177,14,2,12
178,15,1,14
179,16,1,15
180,15,2,13
181,16,0,16
182,16,1,15
183,16,1,15
184,17,1,16
185,16,2,14
186,14,3,11
187,13,4,9
188,12,4,8
189,14,3,11
190,15,3,12
191,12,2,10
192,14,1,13
193,12,2,10
194,11,2,9
195,9,5,4
196,10,4,6
197,10,4,6
198,10,4,6
199,10,4,6
200,9,5,4
201,9,5,4
202,10,4,6
203,8,4,4
204,7,4,3
205,8,3,5
206,11,3,8
207,11,3,8
208,9,3,6
209,9,3,6
210,9,3,6
211,9,3,6
212,10,2,8
213,11,3,8
214,9,2,7
215,9,2,7
216,8,2,6
217,9,2,7
218,7,3,4
219,8,2,6
220,8,4,4
221,9,3,6
222,9,3,6
223,8,4,4
224,8,4,4
225,8,3,5
226,9,2,7
227,9,2,7
228,9,2,7
229,8,3,5
230,7,5,2
231,8,3,5
232,9,1,8
